query_type,true_person,query_image,pred_person,best_person,similarity,threshold,decision,correct,query_face_count,query_det_score,enroll_image
known,nx,/home/cx/face_recognition_baseline/data/face_test_by_person/nx/nx12.jpg,nx,nx,0.697204,0.500000,matched,true,1,0.8488,/home/cx/face_recognition_baseline/data/face_test_by_person/nx/nx11.jpg
known,nx,/home/cx/face_recognition_baseline/data/face_test_by_person/nx/nx13.jpg,nx,nx,0.593178,0.500000,matched,true,1,0.8195,/home/cx/face_recognition_baseline/data/face_test_by_person/nx/nx1.jpg
known,nx,/home/cx/face_recognition_baseline/data/face_test_by_person/nx/nx2.jpg,nx,nx,0.590706,0.500000,matched,true,1,0.7252,/home/cx/face_recognition_baseline/data/face_test_by_person/nx/nx11.jpg
known,nx,/home/cx/face_recognition_baseline/data/face_test_by_person/nx/nx3.jpg,nx,nx,0.551822,0.500000,matched,true,1,0.7828,/home/cx/face_recognition_baseline/data/face_test_by_person/nx/nx1.jpg
known,nx,/home/cx/face_recognition_baseline/data/face_test_by_person/nx/nx4.jpg,nx,nx,0.641850,0.500000,matched,true,1,0.7722,/home/cx/face_recognition_baseline/data/face_test_by_person/nx/nx1.jpg
known,nx,/home/cx/face_recognition_baseline/data/face_test_by_person/nx/nx5.jpg,nx,nx,0.607694,0.500000,matched,true,1,0.8586,/home/cx/face_recognition_baseline/data/face_test_by_person/nx/nx1.jpg
known,nx,/home/cx/face_recognition_baseline/data/face_test_by_person/nx/nx6.jpg,nx,nx,0.755109,0.500000,matched,true,1,0.8098,/home/cx/face_recognition_baseline/data/face_test_by_person/nx/nx11.jpg
known,nx,/home/cx/face_recognition_baseline/data/face_test_by_person/nx/nx7.jpg,nx,nx,0.687639,0.500000,matched,true,1,0.7029,/home/cx/face_recognition_baseline/data/face_test_by_person/nx/nx10.jpg
known,nx,/home/cx/face_recognition_baseline/data/face_test_by_person/nx/nx8.jpg,nx,nx,0.706635,0.500000,matched,true,1,0.8889,/home/cx/face_recognition_baseline/data/face_test_by_person/nx/nx1.jpg
known,nx,/home/cx/face_recognition_baseline/data/face_test_by_person/nx/nx9.jpg,nx,nx,0.639804,0.500000,matched,true,1,0.7457,/home/cx/face_recognition_baseline/data/face_test_by_person/nx/nx1.jpg
known,syy,/home/cx/face_recognition_baseline/data/face_test_by_person/syy/syy12.jpg,syy,syy,0.671839,0.500000,matched,true,1,0.7689,/home/cx/face_recognition_baseline/data/face_test_by_person/syy/syy11.jpg
known,syy,/home/cx/face_recognition_baseline/data/face_test_by_person/syy/syy13.jpg,syy,syy,0.810972,0.500000,matched,true,1,0.9049,/home/cx/face_recognition_baseline/data/face_test_by_person/syy/syy11.jpg
known,syy,/home/cx/face_recognition_baseline/data/face_test_by_person/syy/syy14.jpg,syy,syy,0.628196,0.500000,matched,true,1,0.8568,/home/cx/face_recognition_baseline/data/face_test_by_person/syy/syy11.jpg
known,syy,/home/cx/face_recognition_baseline/data/face_test_by_person/syy/syy15.jpg,syy,syy,0.607253,0.500000,matched,true,1,0.8284,/home/cx/face_recognition_baseline/data/face_test_by_person/syy/syy1.jpg
known,syy,/home/cx/face_recognition_baseline/data/face_test_by_person/syy/syy16.jpg,syy,syy,0.623698,0.500000,matched,true,1,0.8759,/home/cx/face_recognition_baseline/data/face_test_by_person/syy/syy11.jpg
known,syy,/home/cx/face_recognition_baseline/data/face_test_by_person/syy/syy17.jpg,syy,syy,0.640263,0.500000,matched,true,1,0.9022,/home/cx/face_recognition_baseline/data/face_test_by_person/syy/syy11.jpg
known,syy,/home/cx/face_recognition_baseline/data/face_test_by_person/syy/syy2.jpg,syy,syy,0.641561,0.500000,matched,true,1,0.9032,/home/cx/face_recognition_baseline/data/face_test_by_person/syy/syy1.jpg
known,syy,/home/cx/face_recognition_baseline/data/face_test_by_person/syy/syy3.jpg,syy,syy,0.508846,0.500000,matched,true,1,0.8447,/home/cx/face_recognition_baseline/data/face_test_by_person/syy/syy1.jpg
known,syy,/home/cx/face_recognition_baseline/data/face_test_by_person/syy/syy5.jpg,syy,syy,0.656851,0.500000,matched,true,1,0.8513,/home/cx/face_recognition_baseline/data/face_test_by_person/syy/syy11.jpg
known,syy,/home/cx/face_recognition_baseline/data/face_test_by_person/syy/syy6.jpg,syy,syy,0.658737,0.500000,matched,true,1,0.9007,/home/cx/face_recognition_baseline/data/face_test_by_person/syy/syy11.jpg
known,syy,/home/cx/face_recognition_baseline/data/face_test_by_person/syy/syy7.jpg,syy,syy,0.604790,0.500000,matched,true,1,0.8553,/home/cx/face_recognition_baseline/data/face_test_by_person/syy/syy11.jpg
known,syy,/home/cx/face_recognition_baseline/data/face_test_by_person/syy/syy8.jpg,syy,syy,0.667510,0.500000,matched,true,1,0.8223,/home/cx/face_recognition_baseline/data/face_test_by_person/syy/syy11.jpg
known,syy,/home/cx/face_recognition_baseline/data/face_test_by_person/syy/syy9.jpg,syy,syy,0.535233,0.500000,matched,true,1,0.7934,/home/cx/face_recognition_baseline/data/face_test_by_person/syy/syy10.jpg
known,xzh,/home/cx/face_recognition_baseline/data/face_test_by_person/xzh/xzh2.jpg,xzh,xzh,0.561388,0.500000,matched,true,1,0.8478,/home/cx/face_recognition_baseline/data/face_test_by_person/xzh/xzh1.jpg
known,xzh,/home/cx/face_recognition_baseline/data/face_test_by_person/xzh/xzh3.jpg,xzh,xzh,0.695615,0.500000,matched,true,1,0.871,/home/cx/face_recognition_baseline/data/face_test_by_person/xzh/xzh1.jpg
known,xzh,/home/cx/face_recognition_baseline/data/face_test_by_person/xzh/xzh4.jpg,xzh,xzh,0.534667,0.500000,matched,true,1,0.7949,/home/cx/face_recognition_baseline/data/face_test_by_person/xzh/xzh11.jpg
known,xzh,/home/cx/face_recognition_baseline/data/face_test_by_person/xzh/xzh5.jpg,xzh,xzh,0.569973,0.500000,matched,true,1,0.7829,/home/cx/face_recognition_baseline/data/face_test_by_person/xzh/xzh11.jpg
known,xzh,/home/cx/face_recognition_baseline/data/face_test_by_person/xzh/xzh6.jpg,xzh,xzh,0.878282,0.500000,matched,true,1,0.7003,/home/cx/face_recognition_baseline/data/face_test_by_person/xzh/xzh10.jpg
known,xzh,/home/cx/face_recognition_baseline/data/face_test_by_person/xzh/xzh7.jpg,xzh,xzh,0.588172,0.500000,matched,true,1,0.5713,/home/cx/face_recognition_baseline/data/face_test_by_person/xzh/xzh10.jpg
known,xzh,/home/cx/face_recognition_baseline/data/face_test_by_person/xzh/xzh8.jpg,,xzh,0.446751,0.500000,unknown_person,false,1,0.641,/home/cx/face_recognition_baseline/data/face_test_by_person/xzh/xzh1.jpg
known,xzh,/home/cx/face_recognition_baseline/data/face_test_by_person/xzh/xzh9.jpg,xzh,xzh,0.672270,0.500000,matched,true,1,0.7957,/home/cx/face_recognition_baseline/data/face_test_by_person/xzh/xzh11.jpg
known,yjr,/home/cx/face_recognition_baseline/data/face_test_by_person/yjr/yjr4.jpg,yjr,yjr,0.647380,0.500000,matched,true,1,0.8197,/home/cx/face_recognition_baseline/data/face_test_by_person/yjr/yjr3.jpg
known,yzh,/home/cx/face_recognition_baseline/data/face_test_by_person/yzh/yzh4.jpg,yzh,yzh,0.676124,0.500000,matched,true,1,0.8698,/home/cx/face_recognition_baseline/data/face_test_by_person/yzh/yzh1.jpg
known,yzh,/home/cx/face_recognition_baseline/data/face_test_by_person/yzh/yzh5.jpg,yzh,yzh,0.587253,0.500000,matched,true,1,0.7403,/home/cx/face_recognition_baseline/data/face_test_by_person/yzh/yzh3.jpg
known,yzh,/home/cx/face_recognition_baseline/data/face_test_by_person/yzh/yzh6.jpg,yzh,yzh,0.719342,0.500000,matched,true,1,0.8321,/home/cx/face_recognition_baseline/data/face_test_by_person/yzh/yzh3.jpg
known,zxy,/home/cx/face_recognition_baseline/data/face_test_by_person/zxy/zxy5.jpg,,,,0.500000,no_face,false,0,,
known,zxy,/home/cx/face_recognition_baseline/data/face_test_by_person/zxy/zxy6.jpg,zxy,zxy,0.540878,0.500000,matched,true,1,0.7219,/home/cx/face_recognition_baseline/data/face_test_by_person/zxy/zxy2.jpg
known,zxy,/home/cx/face_recognition_baseline/data/face_test_by_person/zxy/zxy7.jpg,zxy,zxy,0.648817,0.500000,matched,true,1,0.7747,/home/cx/face_recognition_baseline/data/face_test_by_person/zxy/zxy1.jpg
known,zxy,/home/cx/face_recognition_baseline/data/face_test_by_person/zxy/zxy8.jpg,zxy,zxy,0.509977,0.500000,matched,true,1,0.858,/home/cx/face_recognition_baseline/data/face_test_by_person/zxy/zxy2.jpg
known,zxy,/home/cx/face_recognition_baseline/data/face_test_by_person/zxy/zxy9.jpg,,zxy,0.499746,0.500000,unknown_person,false,1,0.8746,/home/cx/face_recognition_baseline/data/face_test_by_person/zxy/zxy1.jpg
unknown,陌生人1,/home/cx/unknown-eval-20260907/陌生人1/0ed16773a3ca893580b6a6ffc5b874c4.jpg,,,,0.500000,no_face,false,0,,
unknown,陌生人1,/home/cx/unknown-eval-20260907/陌生人1/1c35ef6d5cf5fe04682228b9275e1c3b.jpg,,syy,0.195463,0.500000,unknown_person,true,1,0.6438,/home/cx/face_recognition_baseline/data/face_test_by_person/syy/syy11.jpg
unknown,陌生人1,/home/cx/unknown-eval-20260907/陌生人1/2b085fc046c8b292514dc189bd0980ce.jpg,,,,0.500000,no_face,false,0,,
unknown,陌生人1,/home/cx/unknown-eval-20260907/陌生人1/37b5237c1cb95e1a0704b3388561a45d.jpg,,yjr,0.149813,0.500000,unknown_person,true,1,0.6548,/home/cx/face_recognition_baseline/data/face_test_by_person/yjr/yjr1.jpg
unknown,陌生人1,/home/cx/unknown-eval-20260907/陌生人1/537a02bb869d2c3395a632a2b1131f47.jpg,,,,0.500000,no_face,false,0,,
unknown,陌生人1,/home/cx/unknown-eval-20260907/陌生人1/962605cd25fbfa993e182a3a22b8b51c.jpg,,,,0.500000,no_face,false,0,,
unknown,陌生人1,/home/cx/unknown-eval-20260907/陌生人1/b241bb262e29b7ddeca99efbf585b172.jpg,,,,0.500000,no_face,false,0,,
unknown,陌生人1,/home/cx/unknown-eval-20260907/陌生人1/d9ac7b2f5c49f3078fe48428683ee1b6.jpg,,,,0.500000,no_face,false,0,,
unknown,陌生人1,/home/cx/unknown-eval-20260907/陌生人1/e49e35113175f6d48224224d8450cd62.jpg,,xzh,0.173119,0.500000,unknown_person,true,1,0.8074,/home/cx/face_recognition_baseline/data/face_test_by_person/xzh/xzh1.jpg
unknown,陌生人10,/home/cx/unknown-eval-20260907/陌生人10/368cd3a71084b30cb5acb41301c31c5d.jpg,,hb,0.113830,0.500000,unknown_person,true,1,0.9052,/home/cx/face_recognition_baseline/data/face_test_by_person/hb/hb2.jpg
unknown,陌生人10,/home/cx/unknown-eval-20260907/陌生人10/b8c0a0c3ef726f604ddd5f5bc4f9e8c3.jpg,,hb,0.172880,0.500000,unknown_person,true,1,0.8141,/home/cx/face_recognition_baseline/data/face_test_by_person/hb/hb2.jpg
unknown,陌生人10,/home/cx/unknown-eval-20260907/陌生人10/bbb387c490d8b477f15fbeb867607fef.jpg,,,,0.500000,no_face,false,0,,
unknown,陌生人10,/home/cx/unknown-eval-20260907/陌生人10/c05ad576f24cb985320f446009ee408b.jpg,,syy,0.109603,0.500000,unknown_person,true,1,0.8622,/home/cx/face_recognition_baseline/data/face_test_by_person/syy/syy11.jpg
unknown,陌生人11,/home/cx/unknown-eval-20260907/陌生人11/38815a8ae630ce10b814bffd5bbe3cd7.jpg,,xzh,0.104421,0.500000,unknown_person,true,1,0.8048,/home/cx/face_recognition_baseline/data/face_test_by_person/xzh/xzh1.jpg
unknown,陌生人11,/home/cx/unknown-eval-20260907/陌生人11/65b48871f962e2e4f9a54a3b02e55bda.jpg,,yjr,0.117797,0.500000,unknown_person,true,1,0.8078,/home/cx/face_recognition_baseline/data/face_test_by_person/yjr/yjr2.jpg
unknown,陌生人11,/home/cx/unknown-eval-20260907/陌生人11/678b655b9b8f29db69a76e45b767b89f.jpg,,yjr,0.104173,0.500000,unknown_person,true,1,0.8272,/home/cx/face_recognition_baseline/data/face_test_by_person/yjr/yjr2.jpg
unknown,陌生人11,/home/cx/unknown-eval-20260907/陌生人11/7872cbc6c1c2e64c9e4140ce2d57bbdd.jpg,,xzh,0.166061,0.500000,unknown_person,true,1,0.8037,/home/cx/face_recognition_baseline/data/face_test_by_person/xzh/xzh1.jpg
unknown,陌生人11,/home/cx/unknown-eval-20260907/陌生人11/935ea3883a71df05dab29259249c2022.jpg,,xzh,0.138207,0.500000,unknown_person,true,1,0.7322,/home/cx/face_recognition_baseline/data/face_test_by_person/xzh/xzh1.jpg
unknown,陌生人11,/home/cx/unknown-eval-20260907/陌生人11/974b655e6a1f87f6b0f2d67aa9e7e2de.jpg,,xzh,0.126722,0.500000,unknown_person,true,1,0.8589,/home/cx/face_recognition_baseline/data/face_test_by_person/xzh/xzh1.jpg
unknown,陌生人11,/home/cx/unknown-eval-20260907/陌生人11/b468bd5c9a370a527b9519c1f6a63845.jpg,,xzh,0.133358,0.500000,unknown_person,true,1,0.8792,/home/cx/face_recognition_baseline/data/face_test_by_person/xzh/xzh1.jpg
unknown,陌生人11,/home/cx/unknown-eval-20260907/陌生人11/be2172164bfe26724dec16941c275b87.jpg,,xzh,0.105655,0.500000,unknown_person,true,1,0.5969,/home/cx/face_recognition_baseline/data/face_test_by_person/xzh/xzh1.jpg
unknown,陌生人12,/home/cx/unknown-eval-20260907/陌生人12/0737bb9d171d09cb0b8ccf8e51c3db82.jpg,,zxy,0.149317,0.500000,unknown_person,true,1,0.8642,/home/cx/face_recognition_baseline/data/face_test_by_person/zxy/zxy4.jpg
unknown,陌生人12,/home/cx/unknown-eval-20260907/陌生人12/183ca3acdd1288c25bca611d75ec27d8.jpg,,hb,0.118791,0.500000,unknown_person,true,1,0.8074,/home/cx/face_recognition_baseline/data/face_test_by_person/hb/hb2.jpg
unknown,陌生人12,/home/cx/unknown-eval-20260907/陌生人12/1f4953f1cb40a253c3a249126fc2341f.jpg,,zxy,0.136774,0.500000,unknown_person,true,1,0.8788,/home/cx/face_recognition_baseline/data/face_test_by_person/zxy/zxy4.jpg
unknown,陌生人12,/home/cx/unknown-eval-20260907/陌生人12/2aec788f35e9251563f17c81329f8d80.jpg,,nx,0.149130,0.500000,unknown_person,true,1,0.8034,/home/cx/face_recognition_baseline/data/face_test_by_person/nx/nx11.jpg
unknown,陌生人12,/home/cx/unknown-eval-20260907/陌生人12/3ded638a02602e1d9c6cf54358cf344b.jpg,,nx,0.197034,0.500000,unknown_person,true,1,0.8208,/home/cx/face_recognition_baseline/data/face_test_by_person/nx/nx11.jpg
unknown,陌生人12,/home/cx/unknown-eval-20260907/陌生人12/453d78433395bdfa897bd8d382884495.jpg,,zxy,0.168789,0.500000,unknown_person,true,1,0.8537,/home/cx/face_recognition_baseline/data/face_test_by_person/zxy/zxy4.jpg
unknown,陌生人12,/home/cx/unknown-eval-20260907/陌生人12/46611a5dad0e9e34e15fe95b81b547fd.jpg,,zxy,0.152184,0.500000,unknown_person,true,1,0.9115,/home/cx/face_recognition_baseline/data/face_test_by_person/zxy/zxy4.jpg
unknown,陌生人12,/home/cx/unknown-eval-20260907/陌生人12/5f70856c30cc4d305db4acac66b489ea.jpg,,zxy,0.179642,0.500000,unknown_person,true,1,0.8722,/home/cx/face_recognition_baseline/data/face_test_by_person/zxy/zxy4.jpg
unknown,陌生人12,/home/cx/unknown-eval-20260907/陌生人12/6cff081566b97eca47d73fe071e1af83.jpg,,nx,0.194020,0.500000,unknown_person,true,1,0.7672,/home/cx/face_recognition_baseline/data/face_test_by_person/nx/nx1.jpg
unknown,陌生人12,/home/cx/unknown-eval-20260907/陌生人12/6da1e67688831d10a1c31b0041761a86.jpg,,zxy,0.149014,0.500000,unknown_person,true,1,0.8113,/home/cx/face_recognition_baseline/data/face_test_by_person/zxy/zxy4.jpg
unknown,陌生人12,/home/cx/unknown-eval-20260907/陌生人12/6e9b094df0da8d9025722e6c0cee5e84.jpg,,zxy,0.150349,0.500000,unknown_person,true,1,0.8509,/home/cx/face_recognition_baseline/data/face_test_by_person/zxy/zxy4.jpg
unknown,陌生人12,/home/cx/unknown-eval-20260907/陌生人12/7d4b7e61349f25a3350b8fc8226a31f9.jpg,,nx,0.185035,0.500000,unknown_person,true,1,0.7776,/home/cx/face_recognition_baseline/data/face_test_by_person/nx/nx10.jpg
unknown,陌生人12,/home/cx/unknown-eval-20260907/陌生人12/83ec7b88ac73445d6e1924550aa92b8a.jpg,,yzh,0.131016,0.500000,unknown_person,true,1,0.8343,/home/cx/face_recognition_baseline/data/face_test_by_person/yzh/yzh2.jpg
unknown,陌生人12,/home/cx/unknown-eval-20260907/陌生人12/9f3595331cae7bb9e7d2c4d48cabfa5c.jpg,,zxy,0.158309,0.500000,unknown_person,true,1,0.8974,/home/cx/face_recognition_baseline/data/face_test_by_person/zxy/zxy4.jpg
unknown,陌生人12,/home/cx/unknown-eval-20260907/陌生人12/9fad362aa3190bf7bfca0e5cc431c4b2.jpg,,,,0.500000,multiple_faces,false,2,,
unknown,陌生人12,/home/cx/unknown-eval-20260907/陌生人12/b04ab27e2575f95d27e89318b3a16327.jpg,,,,0.500000,multiple_faces,false,2,,
unknown,陌生人12,/home/cx/unknown-eval-20260907/陌生人12/b5d1936784f0c691464eddda924257ce.jpg,,zxy,0.234604,0.500000,unknown_person,true,1,0.8112,/home/cx/face_recognition_baseline/data/face_test_by_person/zxy/zxy4.jpg
unknown,陌生人12,/home/cx/unknown-eval-20260907/陌生人12/b758ebb6b45a3460df8856a2743cf92d.jpg,,hb,0.135952,0.500000,unknown_person,true,1,0.7888,/home/cx/face_recognition_baseline/data/face_test_by_person/hb/hb2.jpg
unknown,陌生人12,/home/cx/unknown-eval-20260907/陌生人12/bfe19b0274cabc833f5988c2f0869926.jpg,,nx,0.186342,0.500000,unknown_person,true,1,0.8716,/home/cx/face_recognition_baseline/data/face_test_by_person/nx/nx10.jpg
unknown,陌生人12,/home/cx/unknown-eval-20260907/陌生人12/c04b929da1bfc4f2ba746908302a85ba.jpg,,zxy,0.158537,0.500000,unknown_person,true,1,0.8944,/home/cx/face_recognition_baseline/data/face_test_by_person/zxy/zxy4.jpg
unknown,陌生人12,/home/cx/unknown-eval-20260907/陌生人12/fac318fc761ac0ab8c7f6b56ce55bcb3.jpg,,zxy,0.230611,0.500000,unknown_person,true,1,0.7444,/home/cx/face_recognition_baseline/data/face_test_by_person/zxy/zxy4.jpg
unknown,陌生人13,/home/cx/unknown-eval-20260907/陌生人13/2f08a4ebb1aab2d9594f25bd226a72e3.jpg,,hb,0.219122,0.500000,unknown_person,true,1,0.875,/home/cx/face_recognition_baseline/data/face_test_by_person/hb/hb3.jpg
unknown,陌生人13,/home/cx/unknown-eval-20260907/陌生人13/37280f225ee5ed143d9360c7d9ca6dbb.jpg,,hb,0.217325,0.500000,unknown_person,true,1,0.8126,/home/cx/face_recognition_baseline/data/face_test_by_person/hb/hb3.jpg
unknown,陌生人13,/home/cx/unknown-eval-20260907/陌生人13/44bf12ce65a9956d4c661c8edd3ea64d.jpg,,hb,0.269181,0.500000,unknown_person,true,1,0.8801,/home/cx/face_recognition_baseline/data/face_test_by_person/hb/hb3.jpg
unknown,陌生人13,/home/cx/unknown-eval-20260907/陌生人13/748cefd0ef5fc5593b2c13f6d1cec612.jpg,,xzh,0.315198,0.500000,unknown_person,true,1,0.8516,/home/cx/face_recognition_baseline/data/face_test_by_person/xzh/xzh1.jpg
unknown,陌生人13,/home/cx/unknown-eval-20260907/陌生人13/7b6df2fa3112d6934129051a337f6f06.jpg,,hb,0.246599,0.500000,unknown_person,true,1,0.8451,/home/cx/face_recognition_baseline/data/face_test_by_person/hb/hb3.jpg
unknown,陌生人13,/home/cx/unknown-eval-20260907/陌生人13/7c246350651017574ab6a1aa75380319.jpg,,cx,0.221045,0.500000,unknown_person,true,1,0.8777,/home/cx/face_recognition_baseline/data/face_test_by_person/cx/cx2.jpg
unknown,陌生人13,/home/cx/unknown-eval-20260907/陌生人13/93081611ddd135dac3fcc90047c12250.jpg,,nx,0.283095,0.500000,unknown_person,true,1,0.7314,/home/cx/face_recognition_baseline/data/face_test_by_person/nx/nx1.jpg
unknown,陌生人13,/home/cx/unknown-eval-20260907/陌生人13/dbe6d04f17577d716e1f60c800fd9cfb.jpg,,xzh,0.298408,0.500000,unknown_person,true,1,0.7355,/home/cx/face_recognition_baseline/data/face_test_by_person/xzh/xzh1.jpg
unknown,陌生人13,/home/cx/unknown-eval-20260907/陌生人13/f5d948ba8c8946716381458c2dcbfdf3.jpg,,hb,0.234727,0.500000,unknown_person,true,1,0.8191,/home/cx/face_recognition_baseline/data/face_test_by_person/hb/hb3.jpg
unknown,陌生人14,/home/cx/unknown-eval-20260907/陌生人14/2509cf9eeca5ba2eaaa18364b54d9065.jpg,,syy,0.220061,0.500000,unknown_person,true,1,0.8569,/home/cx/face_recognition_baseline/data/face_test_by_person/syy/syy11.jpg
unknown,陌生人14,/home/cx/unknown-eval-20260907/陌生人14/96b245e6cf3d25da54952ceea610bf54.jpg,,syy,0.174677,0.500000,unknown_person,true,1,0.7893,/home/cx/face_recognition_baseline/data/face_test_by_person/syy/syy11.jpg
unknown,陌生人14,/home/cx/unknown-eval-20260907/陌生人14/9dfdbfe93e4940f312565e8559259722.jpg,,syy,0.157283,0.500000,unknown_person,true,1,0.8225,/home/cx/face_recognition_baseline/data/face_test_by_person/syy/syy11.jpg
unknown,陌生人14,/home/cx/unknown-eval-20260907/陌生人14/abdacc66832b356e9a42b5c562f509f1.jpg,,syy,0.196108,0.500000,unknown_person,true,1,0.8329,/home/cx/face_recognition_baseline/data/face_test_by_person/syy/syy11.jpg
unknown,陌生人14,/home/cx/unknown-eval-20260907/陌生人14/cd1074c792626c6d08205dc4fbc46338.jpg,,syy,0.222559,0.500000,unknown_person,true,1,0.7887,/home/cx/face_recognition_baseline/data/face_test_by_person/syy/syy11.jpg
unknown,陌生人15,/home/cx/unknown-eval-20260907/陌生人15/06da360a91afa2830d480d8fa3830956.jpg,,cx,0.149028,0.500000,unknown_person,true,1,0.8404,/home/cx/face_recognition_baseline/data/face_test_by_person/cx/cx3.jpg
unknown,陌生人15,/home/cx/unknown-eval-20260907/陌生人15/79ccf177c780aa6976f85b2316d56f0a.jpg,,yzh,0.261025,0.500000,unknown_person,true,1,0.6774,/home/cx/face_recognition_baseline/data/face_test_by_person/yzh/yzh3.jpg
unknown,陌生人16,/home/cx/unknown-eval-20260907/陌生人16/186703bcfa4cf9eae766ae95a5d8a4c7.jpg,,zr,0.223416,0.500000,unknown_person,true,1,0.836,/home/cx/face_recognition_baseline/data/face_test_by_person/zr/zr5.jpg
unknown,陌生人16,/home/cx/unknown-eval-20260907/陌生人16/be88496035b12486d3ea7f7ed3fbf4fe.jpg,,cx,0.187661,0.500000,unknown_person,true,1,0.861,/home/cx/face_recognition_baseline/data/face_test_by_person/cx/cx3.jpg
unknown,陌生人16,/home/cx/unknown-eval-20260907/陌生人16/dc289459530e7e2d8f6ae8b4f67f3f9d.jpg,,xzh,0.240485,0.500000,unknown_person,true,1,0.833,/home/cx/face_recognition_baseline/data/face_test_by_person/xzh/xzh10.jpg
unknown,陌生人17,/home/cx/unknown-eval-20260907/陌生人17/25f629dd8873529d3acdbb7991913c5a.jpg,,zr,0.186704,0.500000,unknown_person,true,1,0.8806,/home/cx/face_recognition_baseline/data/face_test_by_person/zr/zr3.jpg
unknown,陌生人17,/home/cx/unknown-eval-20260907/陌生人17/3ffdec7e14cd43ce334a9e1479471ac3.jpg,,syy,0.216684,0.500000,unknown_person,true,1,0.7908,/home/cx/face_recognition_baseline/data/face_test_by_person/syy/syy10.jpg
unknown,陌生人17,/home/cx/unknown-eval-20260907/陌生人17/4049eab176d7032593e54aec98aca6a9.jpg,,nx,0.261327,0.500000,unknown_person,true,1,0.8693,/home/cx/face_recognition_baseline/data/face_test_by_person/nx/nx11.jpg
unknown,陌生人17,/home/cx/unknown-eval-20260907/陌生人17/92bd96616547438128af0a29921560c8.jpg,,nx,0.248977,0.500000,unknown_person,true,1,0.7597,/home/cx/face_recognition_baseline/data/face_test_by_person/nx/nx11.jpg
unknown,陌生人17,/home/cx/unknown-eval-20260907/陌生人17/b2b3ae80079523811ff70f534349076f.jpg,,zr,0.247752,0.500000,unknown_person,true,1,0.8364,/home/cx/face_recognition_baseline/data/face_test_by_person/zr/zr3.jpg
unknown,陌生人17,/home/cx/unknown-eval-20260907/陌生人17/f1b322fc5358630753514358d28f31a1.jpg,,xzh,0.227025,0.500000,unknown_person,true,1,0.879,/home/cx/face_recognition_baseline/data/face_test_by_person/xzh/xzh1.jpg
unknown,陌生人18,/home/cx/unknown-eval-20260907/陌生人18/0ef5552d4b90cb448cd02fc95fe1db57.jpg,,cx,0.237818,0.500000,unknown_person,true,1,0.8503,/home/cx/face_recognition_baseline/data/face_test_by_person/cx/cx3.jpg
unknown,陌生人18,/home/cx/unknown-eval-20260907/陌生人18/416a6d6b2998926cb6a7eb9ae74c7233.jpg,,cx,0.235043,0.500000,unknown_person,true,1,0.76,/home/cx/face_recognition_baseline/data/face_test_by_person/cx/cx3.jpg
unknown,陌生人18,/home/cx/unknown-eval-20260907/陌生人18/6c1350811279db4dd1fe65262564e04d.jpg,,cx,0.233069,0.500000,unknown_person,true,1,0.8589,/home/cx/face_recognition_baseline/data/face_test_by_person/cx/cx3.jpg
